"customer_city","customer_state","total_sales"
"camanducaia","MG","228648.96"
"cangucu","RS","228045.62"
"barra velha","SC","227308.02"
"canaa dos carajas","PA","227015.04"
"trindade","PE","224716.20"
"ivoti","RS","224607.07"
"tres marias","MG","223563.60"
"itaqui","RS","222260.18"
"bom jesus do galho","MG","221571.45"
"santa juliana","MG","221479.66"
"sao jose de ribamar","MA","220762.66"
"guapimirim","RJ","220447.94"
"cantagalo","RJ","219825.60"
"itumbiara","GO","218524.58"
"capinzal","SC","217446.04"
"campina grande do sul","PR","215668.44"
"garanhuns","PE","215468.88"
"santa gertrudes","SP","215377.08"
"guaramirim","SC","215296.24"
"baixo guandu","ES","215083.61"
"sao raimundo nonato","PI","215066.88"
"ibia","MG","213769.98"
"catu","BA","213352.04"
"mangaratiba","RJ","213255.90"
"mutum","MG","213042.58"
"ouricuri","PE","212996.94"
"pau dos ferros","RN","212846.27"
"sarzedo","MG","211929.13"
"ampere","PR","210510.70"
"ipojuca","PE","210081.60"
"sombrio","SC","209418.79"
"pacaja","PA","208850.08"
"tapejara","RS","208766.97"
"sao joaquim de bicas","MG","208344.06"
"palotina","PR","207825.15"
"castro","PR","206727.35"
"serrana","SP","206324.95"
"tres passos","RS","206009.64"
"quatro barras","PR","205903.17"
"eloi mendes","MG","205717.05"
"braganca","PA","205529.61"
"rosario do sul","RS","205510.68"
"nova esperanca","PR","204213.36"
"jaguarao","RS","203689.64"
"dois corregos","SP","203375.55"
"aluminio","SP","202586.40"
"santo amaro","BA","202540.52"
"presidente dutra","MA","202001.50"
"caconde","SP","201252.70"
"pilar do sul","SP","200952.48"
"mendes","RJ","200828.67"
"anchieta","ES","200579.40"
"itatinga","SP","197866.80"
"bezerros","PE","196614.35"
"pontal do parana","PR","195137.90"
"parnaiba","PI","194803.86"
"tambau","SP","194612.25"
"passa quatro","MG","194589.48"
"tanabi","SP","193358.08"
